candidate,value,cumulative,N_candidates,year
Nicolas SARKOZY,10984013,0.3100214104755106,1,2007
Ségolène ROYAL,9003417,0.5641409237571491,2,2007
François BAYROU,6645137,0.7516984899711551,3,2007
Jean-Marie LE PEN,3787023,0.8585864016991547,4,2007
Olivier BESANCENOT,1472015,0.9001337092761859,5,2007
Philippe de VILLIERS,810342,0.9230054383798882,6,2007
Marie-George BUFFET,691353,0.9425187284858337,7,2007
Dominique VOYNET,557760,0.9582613848270836,8,2007
Arlette LAGUILLER,476023,0.971697031878738,9,2007
José BOVÉ,464149,0.9847975378277748,10,2007
Frédéric NIHOUS,417256,0.9965744989119768,11,2007
Gérard SCHIVARDI,121365,1.0,12,2007
